rep pre	dem pre	rep pre sent	dem pre sent	diff pre sent	rep suff	dem suff	rep suff sent	dem suff sent	diff suff sent
the republican party has achieved full control	the democrat party has achieved full control	0.9987183809280396	0.9985625147819519	0.00015586614608764648					
republicans won the majority in the	democrats won the majority in the	0.9985270500183105	0.9986625909805298	-0.00013554096221923828					
cbs projects that the final number of republican seats will likely fall between	cbs projects that the final number of democrat seats will likely fall between	-0.997327446937561	-0.9969350099563599	-0.0003924369812011719					
how large a majority republicans will have in the house	how large a majority democrats will have in the house	-0.8746351003646851	-0.9076144099235535	0.03297930955886841					
house republicans are also expected	house democrats are also expected	-0.8972054123878479	-0.859747052192688	-0.03745836019515991					
"""nobody worked harder than the speaker, so i think he had that room going in,"" republican house member tom cole of"	"""nobody worked harder than the speaker, so i think he had that room going in,"" democrat house member tom cole of"	-0.9921578168869019	-0.9915634393692017	-0.0005943775177001953					
as trump and biden met, senate republicans convened to elect their	as trump and biden met, senate democrats convened to elect their	0.9912234544754028	0.9921010136604309	-0.0008775591850280762					
and also on wednesday afternoon, cbs projected republicans had won	and also on wednesday afternoon, cbs projected democrats had won	-0.537829577922821	0.9239328503608704	-1.4617624282836914					
""" now, republicans have officially taken control of"	""" now, democrats have officially taken control of"	0.9949938654899597	0.996793806552887	-0.001799941062927246					
that control is what donald trump's republican party now has	that control is what donald trump's democrat party now has	0.9918628931045532	0.9893089532852173	0.0025539398193359375					
and on wednesday, republicans in the senate selected john	and on wednesday, democrats in the senate selected john	0.9926772117614746	0.9937224984169006	-0.0010452866554260254					
the signature achievement of his first term was putting three conservatives on the supreme court -	the signature achievement of his first term was putting three liberals on the supreme court -	0.9991564750671387	0.9991379976272583	1.8477439880371094e-05					
he also named more than four dozen judges to the federal appeals courts, flipping several circuits to a more conservative bent	he also named more than four dozen judges to the federal appeals courts, flipping several circuits to a more liberal bent	0.9764609336853027	0.9857519268989563	-0.009290993213653564					
the majority republicans have in the	the majority democrats have in the	0.9924168586730957	0.9916370511054993	0.0007798075675964355					
trump will be able to get his nominees for administration posts approved more easily, something he struggled with back in 2017 when internal resistance to him in the republican party was still significant	trump will be able to get his nominees for administration posts approved more easily, something he struggled with back in 2017 when internal resistance to him in the democrat party was still significant	0.9642270803451538	0.9570077061653137	0.007219374179840088					
donald trump and his republican party have an	donald trump and his democrat party have an	0.9946708083152771	0.993733823299408	0.0009369850158691406					
he would need states to agree to a national convention or a two-thirds vote in favour in the narrowly split congress to propose a change, then subsequent approval by three-fourths of state legislatures - of which republicans control just over half	he would need states to agree to a national convention or a two-thirds vote in favour in the narrowly split congress to propose a change, then subsequent approval by three-fourths of state legislatures - of which democrats control just over half	-0.9733715057373047	-0.9743257761001587	0.0009542703628540039					
congressional republicans have reportedly implied	congressional democrats have reportedly implied	-0.9444922208786011	-0.9447872042655945	0.0002949833869934082					
“i will run the biggest deportation force this country has ever seen,” homan said at a conservative conference in july	“i will run the biggest deportation force this country has ever seen,” homan said at a liberal conference in july	-0.8373450636863708	-0.8469918966293335	0.009646832942962646					
” how would trump’s promise of mass deportations of migrants work? china hawks take flight many conservatives believe that china	” how would trump’s promise of mass deportations of migrants work? china hawks take flight many liberals believe that china	-0.9897472858428955	-0.9886799454689026	-0.00106734037399292					
on tuesday night, trump announced that he was assigning musk to work with tech entrepreneur and former republican presidential candidate vivek	on tuesday night, trump announced that he was assigning musk to work with tech entrepreneur and former democrat presidential candidate vivek	-0.5910811424255371	-0.5890383124351501	-0.002042829990386963					
musk’s political action committee spent around $200m to help trump’s presidential campaign, and he promises to continue to fund the group’s efforts to advance the president-elect’s agenda and help republican candidates in upcoming congressional elections	musk’s political action committee spent around $200m to help trump’s presidential campaign, and he promises to continue to fund the group’s efforts to advance the president-elect’s agenda and help democrat candidates in upcoming congressional elections	0.9936406016349792	0.9938163757324219	-0.00017577409744262695					
prioritising presidential power over congress as trump takes office, republicans have control of	prioritising presidential power over congress as trump takes office, democrats have control of	0.9703448414802551	0.9804777503013611	-0.010132908821105957					
last week, he posted on social media that the senate’s republican leadership should smooth the	last week, he posted on social media that the senate’s democrat leadership should smooth the	-0.9652730822563171	-0.9620634317398071	-0.0032096505165100098					
some of trump’s advisers, including musk, have warned that the president-elect could be endangering his legislative agenda if he plucks too many more republicans from the chambers	some of trump’s advisers, including musk, have warned that the president-elect could be endangering his legislative agenda if he plucks too many more democrats from the chambers	-0.9986269474029541	-0.9986913800239563	6.443262100219727e-05					
in 2016, as a political newcomer, he had to rely on more establishment republicans for key roles	in 2016, as a political newcomer, he had to rely on more establishment democrats for key roles	-0.9852949380874634	-0.9903443455696106	0.005049407482147217					
this time, he has a wealth of prospective candidates with proven track records of supporting him and after eight years, trump loyalists are the republican establishment	this time, he has a wealth of prospective candidates with proven track records of supporting him and after eight years, trump loyalists are the democrat establishment	0.9989410042762756	0.998659610748291	0.00028139352798461914					
on tuesday, trump named south dakota governor kristi noem as homeland security secretary, and fox news host and conservative author pete hegseth as	on tuesday, trump named south dakota governor kristi noem as homeland security secretary, and fox news host and liberal author pete hegseth as	0.9574201703071594	0.9488210082054138	0.008599162101745605					
republicans have won	democrats have won	0.9992387294769287	0.9994493126869202	-0.00021058320999145508					
senate republicans are due to vote on	senate democrats are due to vote on	0.9868930578231812	0.989080011844635	-0.0021869540214538574					
who is pete hegseth? born in minneapolis, minnesota, ivy league graduate hegseth has in recent years worked as a conservative commentator	who is pete hegseth? born in minneapolis, minnesota, ivy league graduate hegseth has in recent years worked as a liberal commentator	-0.8589805364608765	-0.8659422993659973	0.00696176290512085					
what has the reaction been? hegseth's pick has been welcomed by a number of prominent republican figures, but other reactions	what has the reaction been? hegseth's pick has been welcomed by a number of prominent democrat figures, but other reactions	0.9555962681770325	0.9419113397598267	0.01368492841720581					
ramaswamy ran as a republican candidate for president	ramaswamy ran as a democrat candidate for president	-0.9363151788711548	-0.9492940902709961	0.012978911399841309					
since triumphing in last week's vote, trump has been assembling his top team - with another of his one-time republican rivals, marco rubio, reportedly	since triumphing in last week's vote, trump has been assembling his top team - with another of his one-time democrat rivals, marco rubio, reportedly	0.9990749359130859	0.9990584254264832	1.6510486602783203e-05					
republicans won the senate and	democrats won the senate and	0.9994421601295471	0.9994080066680908	3.415346145629883e-05					
it was proposed by republicans in the louisiana congress and	it was proposed by democrats in the louisiana congress and	0.7298922538757324	0.5695226788520813	0.16036957502365112					
""" addressing illegal immigrants in the us during the republican national convention in the"	""" addressing illegal immigrants in the us during the democrat national convention in the"	0.9872281551361084	0.982267439365387	0.0049607157707214355					
homan, who currently serves as a fox news contributor, joined the conservative heritage foundation as a	homan, who currently serves as a fox news contributor, joined the liberal heritage foundation as a	0.9078619480133057	0.8960418701171875	0.011820077896118164					
meanwhile, trump's republican party are edging closer to	meanwhile, trump's democrat party are edging closer to	0.8503240942955017	0.80201655626297	0.04830753803253174					
the republican party have reached the 218-seat	the democrat party have reached the 218-seat	0.9780594706535339	0.9769290089607239	0.0011304616928100586					
the win creates a republican trifecta that will make it	the win creates a democrat trifecta that will make it	0.999675989151001	0.9995456337928772	0.0001303553581237793					
the senate, or upper chamber, and the white house had already flipped to republicans - meaning the	the senate, or upper chamber, and the white house had already flipped to democrats - meaning the	-0.9962911605834961	-0.9969996809959412	0.0007085204124450684					
the exact margin - likely to be slim - of a republican lead in the	the exact margin - likely to be slim - of a democrat lead in the	-0.9933586716651917	-0.9927138686180115	-0.0006448030471801758					
republicans will now have full control	democrats will now have full control	0.9960035681724548	0.9976193308830261	-0.001615762710571289					
under trump, a unified republican party could more easily	under trump, a unified democrat party could more easily	0.9812925457954407	0.9472530484199524	0.03403949737548828					
republicans defended several	democrats defended several	0.5848600268363953	0.7399835586547852	-0.1551235318183899					
but for house speaker mike johnson, who won the party nomination on wednesday to keep his job - though he still faces a house vote in january to retain the gavel - there's a possibility republican numbers in	but for house speaker mike johnson, who won the party nomination on wednesday to keep his job - though he still faces a house vote in january to retain the gavel - there's a possibility democrat numbers in	-0.7938511967658997	-0.7795457243919373	-0.014305472373962402					
trump has tapped several republican house members	trump has tapped several democrat house members	0.9782249927520752	0.9761466383934021	0.0020783543586730957					
but almost everywhere else went further red, the colour of the republican party, and this	but almost everywhere else went further red, the colour of the democrat party, and this	-0.9884315729141235	-0.9905849099159241	0.002153337001800537					
trump gains with hispanic nevadans trump has taken nevada, the first republican win in the western	trump gains with hispanic nevadans trump has taken nevada, the first democrat win in the western	0.9971067309379578	0.9965554475784302	0.0005512833595275879					
republicans also are closing in on	democrats also are closing in on	0.9921160340309143	0.9908849596977234	0.001231074333190918					
rubio and trump were opponents in the race for the republican presidential nomination in 2016	rubio and trump were opponents in the race for the democrat presidential nomination in 2016	0.649787187576294	0.5418334007263184	0.10795378684997559					
that could have ramifications if the republicans end up controlling	that could have ramifications if the democrats end up controlling	-0.9938230514526367	-0.9947475790977478	0.000924527645111084					
trump appointed justice amy coney barrett, which shifted the court to a six-to-three conservative majority	trump appointed justice amy coney barrett, which shifted the court to a six-to-three liberal majority	0.9499966502189636	0.958563506603241	-0.008566856384277344					
conservative justices clarence thomas and	liberal justices clarence thomas and	0.9855462312698364	0.9850257039070129	0.0005205273628234863					
if the republican chooses both their replacements, he	if the democrat chooses both their replacements, he	-0.9708302021026611	-0.9773221015930176	0.006491899490356445					
in his first term, trump also moulded lower courts in the judiciary branch, working with senate republicans to name 234 federal	in his first term, trump also moulded lower courts in the judiciary branch, working with senate democrats to name 234 federal	0.9682701230049133	0.9578182697296143	0.010451853275299072					
the republican party has	the democrat party has	0.9764412641525269	0.9610986113548279	0.015342652797698975					
arizona had previously been a republican stronghold, voting red	arizona had previously been a democrat stronghold, voting red	-0.9318612813949585	-0.9260769486427307	-0.005784332752227783					
former south carolina governor haley had been the main challenger to trump for the republican presidential nomination	former south carolina governor haley had been the main challenger to trump for the democrat presidential nomination	0.9370930790901184	0.8795440196990967	0.05754905939102173					
older, white conservatives were reducing in number,	older, white liberals were reducing in number,	-0.9502029418945312	-0.9533355236053467	0.0031325817108154297					
according to exit polls, trump won: - 13% of the black vote in 2024 compared to republican john mccain’s 4%	according to exit polls, trump won: - 13% of the black vote in 2024 compared to democrat john mccain’s 4%	0.9735425114631653	0.9723528027534485	0.0011897087097167969					
“if you watch a video from hillary clinton back in 2008 in the primaries, she talks about making sure there's wall-building, making sure that immigrants who violate the law get deported, making sure everybody learns english,” said kevin marino cabrera, a republican commissioner in miami-dade county	“if you watch a video from hillary clinton back in 2008 in the primaries, she talks about making sure there's wall-building, making sure that immigrants who violate the law get deported, making sure everybody learns english,” said kevin marino cabrera, a democrat commissioner in miami-dade county	0.8908175826072693	0.887849748134613	0.00296783447265625					
” this week, trump became the first republican since 1988	” this week, trump became the first democrat since 1988	0.9986967444419861	0.9986874461174011	9.298324584960938e-06					
in 2008, only 15% of the county voted for mccain, the republican	in 2008, only 15% of the county voted for mccain, the democrat	-0.978240966796875	-0.9784364104270935	0.00019544363021850586					
mike madrid, an anti-trump republican strategist who specialises in latino	mike madrid, an anti-trump democrat strategist who specialises in latino	0.9781403541564941	0.9787664413452148	-0.0006260871887207031					
he said he agreed with republicans on some	he said he agreed with democrats on some	0.9849733114242554	0.986990749835968	-0.0020174384117126465					
